_unit_id,_created_at,_golden,_id,_missed,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,this_document_is,orig__golden,orig__id,current_document,description,edittion_time,position,posted_document,query,query_id,score,this_document_is_gold,this_document_is_gold_reason,topic_number,username,waterloo
2112115910,1/23/2019 02:38:07,false,4453105460,,1/23/2019 02:37:27,false,prodege,1.0,38170184,USA,"","",173.95.76.179,Relevant,,5bdb22e212ff7329c819b77b,"Wilson Antenna is a popular CB antenna brand preferred by many. Wilson is one of few manufacturers that have a full line of antenna mounts including roof, truck, and magnetic mounts. Wilson Antenna's replacement shafts and mounts come as long as six and a half feet long and up to 5000 Watts. 
The Wilson 500 CB Antenna is perfect compromise between a short 36"" whip and monster 62"" one!. As Amazon, eBay, Right Channel Radios, Wilson Amplifiers and best Shops say - with Wilson Antenna Satisfaction Guarantee !",Find information about Wilson CB antennas.,2019-01-20 13:16:12.534000,4,"Wilson is part of a family of brands such as RoadKing, Solarcon, Francis and More. Wilson antennas are Wilson provides the complete line of strong and reliable signal receiver for your cell phone signal booster. Including the most popular magnet mount antennas on the market.
Wilson Antenna, Inc. designs and develops base loaded CB mobile antennas for use in road communication. It offers base load, trucker, and fiberglass antennas; and accessories, including antenna mounts and studs, coaxial cables, and CB microphones. The company also offers technical support services. It sells its products through a network of dealerships, distributorships, and importers worldwide. The company is based in Rock Island, Illinois.",wilson antenna,048_2,-2.4768688678741455,,,4,Z07ABY,60
2112115910,1/23/2019 02:40:39,false,4453112167,,1/23/2019 02:36:51,false,fusioncash,1.0,6082058,USA,FL,Miami,73.139.184.127,Relevant,,5bdb22e212ff7329c819b77b,"Wilson Antenna is a popular CB antenna brand preferred by many. Wilson is one of few manufacturers that have a full line of antenna mounts including roof, truck, and magnetic mounts. Wilson Antenna's replacement shafts and mounts come as long as six and a half feet long and up to 5000 Watts. 
The Wilson 500 CB Antenna is perfect compromise between a short 36"" whip and monster 62"" one!. As Amazon, eBay, Right Channel Radios, Wilson Amplifiers and best Shops say - with Wilson Antenna Satisfaction Guarantee !",Find information about Wilson CB antennas.,2019-01-20 13:16:12.534000,4,"Wilson is part of a family of brands such as RoadKing, Solarcon, Francis and More. Wilson antennas are Wilson provides the complete line of strong and reliable signal receiver for your cell phone signal booster. Including the most popular magnet mount antennas on the market.
Wilson Antenna, Inc. designs and develops base loaded CB mobile antennas for use in road communication. It offers base load, trucker, and fiberglass antennas; and accessories, including antenna mounts and studs, coaxial cables, and CB microphones. The company also offers technical support services. It sells its products through a network of dealerships, distributorships, and importers worldwide. The company is based in Rock Island, Illinois.",wilson antenna,048_2,-2.4768688678741455,,,4,Z07ABY,60
2112115910,1/23/2019 03:04:59,false,4453181404,,1/23/2019 03:03:32,false,neodev,1.0,45076634,USA,NY,New York,162.243.6.51,Relevant,,5bdb22e212ff7329c819b77b,"Wilson Antenna is a popular CB antenna brand preferred by many. Wilson is one of few manufacturers that have a full line of antenna mounts including roof, truck, and magnetic mounts. Wilson Antenna's replacement shafts and mounts come as long as six and a half feet long and up to 5000 Watts. 
The Wilson 500 CB Antenna is perfect compromise between a short 36"" whip and monster 62"" one!. As Amazon, eBay, Right Channel Radios, Wilson Amplifiers and best Shops say - with Wilson Antenna Satisfaction Guarantee !",Find information about Wilson CB antennas.,2019-01-20 13:16:12.534000,4,"Wilson is part of a family of brands such as RoadKing, Solarcon, Francis and More. Wilson antennas are Wilson provides the complete line of strong and reliable signal receiver for your cell phone signal booster. Including the most popular magnet mount antennas on the market.
Wilson Antenna, Inc. designs and develops base loaded CB mobile antennas for use in road communication. It offers base load, trucker, and fiberglass antennas; and accessories, including antenna mounts and studs, coaxial cables, and CB microphones. The company also offers technical support services. It sells its products through a network of dealerships, distributorships, and importers worldwide. The company is based in Rock Island, Illinois.",wilson antenna,048_2,-2.4768688678741455,,,4,Z07ABY,60
2112115910,1/23/2019 03:36:45,false,4453279491,,1/23/2019 03:35:31,false,neodev,1.0,43321380,USA,OK,Edmond,104.247.135.236,Relevant,,5bdb22e212ff7329c819b77b,"Wilson Antenna is a popular CB antenna brand preferred by many. Wilson is one of few manufacturers that have a full line of antenna mounts including roof, truck, and magnetic mounts. Wilson Antenna's replacement shafts and mounts come as long as six and a half feet long and up to 5000 Watts. 
The Wilson 500 CB Antenna is perfect compromise between a short 36"" whip and monster 62"" one!. As Amazon, eBay, Right Channel Radios, Wilson Amplifiers and best Shops say - with Wilson Antenna Satisfaction Guarantee !",Find information about Wilson CB antennas.,2019-01-20 13:16:12.534000,4,"Wilson is part of a family of brands such as RoadKing, Solarcon, Francis and More. Wilson antennas are Wilson provides the complete line of strong and reliable signal receiver for your cell phone signal booster. Including the most popular magnet mount antennas on the market.
Wilson Antenna, Inc. designs and develops base loaded CB mobile antennas for use in road communication. It offers base load, trucker, and fiberglass antennas; and accessories, including antenna mounts and studs, coaxial cables, and CB microphones. The company also offers technical support services. It sells its products through a network of dealerships, distributorships, and importers worldwide. The company is based in Rock Island, Illinois.",wilson antenna,048_2,-2.4768688678741455,,,4,Z07ABY,60
2112115910,1/23/2019 05:06:16,false,4453501005,,1/23/2019 05:04:07,false,clixsense,1.0,40925305,CAN,QC,Montréal,70.52.97.187,Relevant,,5bdb22e212ff7329c819b77b,"Wilson Antenna is a popular CB antenna brand preferred by many. Wilson is one of few manufacturers that have a full line of antenna mounts including roof, truck, and magnetic mounts. Wilson Antenna's replacement shafts and mounts come as long as six and a half feet long and up to 5000 Watts. 
The Wilson 500 CB Antenna is perfect compromise between a short 36"" whip and monster 62"" one!. As Amazon, eBay, Right Channel Radios, Wilson Amplifiers and best Shops say - with Wilson Antenna Satisfaction Guarantee !",Find information about Wilson CB antennas.,2019-01-20 13:16:12.534000,4,"Wilson is part of a family of brands such as RoadKing, Solarcon, Francis and More. Wilson antennas are Wilson provides the complete line of strong and reliable signal receiver for your cell phone signal booster. Including the most popular magnet mount antennas on the market.
Wilson Antenna, Inc. designs and develops base loaded CB mobile antennas for use in road communication. It offers base load, trucker, and fiberglass antennas; and accessories, including antenna mounts and studs, coaxial cables, and CB microphones. The company also offers technical support services. It sells its products through a network of dealerships, distributorships, and importers worldwide. The company is based in Rock Island, Illinois.",wilson antenna,048_2,-2.4768688678741455,,,4,Z07ABY,60
2112115911,1/23/2019 05:16:04,false,4453526717,,1/23/2019 05:14:55,false,instagc,1.0,44094031,GBR,M1,Slough,82.13.42.104,Relevant,,5bdb22e212ff7329c819b717,"
BlueHost built its WWW site management interface around the cPanel control panel, a truly ugly system that is nonetheless the industry standard today. cPanel is designed for pros who know what they are doing, and BlueHost offers little hand-holding if you need help getting started (although the company promises average tech support hold times of <30 seconds). But what BlueHost lacks in friendliness it makes up for in exhaustiveness, with over 75 installation scripts at hand, you can point and click your way to building just about any kind of website-blog, wiki, e-commerce, without a lot of fuss. The service plan is an unremarkable yet comprehensive and the big draw for most BlueHost customers-cheap. Pro packages can reach $20 a month, but most customers squeak by on the basic plan of under $4 per month.",I'm looking for information on designing a business website and finding hosting for it.,2019-01-22 21:20:12.189000,5,"BlueHost built its site management interface around the cPanel control panel, a truly ugly system that is nonetheless the industry standard today. cPanel is designed for pros who know what they are doing, and BlueHost offers little hand-holding if you need help getting started (although the company promises average tech support hold times under 30 seconds). But what BlueHost lacks in friendliness it makes up for in exhaustiveness: With over 75 installation scripts at hand, you can point and click your way to building just about any kind of website - blog, wiki, e-commerce - without a lot of fuss. The service plan is unremarkable yet comprehensive and - the big draw for most BlueHost customers - cheap. Pro packages can reach $20 a month, but most customers squeak by on the less-than $4-per month basic plan.",website design hosting,032_4,-6.55377721786499,,,vanilla,6LWZ77,60
2112115911,1/23/2019 05:17:27,false,4453530766,,1/23/2019 05:14:50,false,instagc,1.0,34854490,USA,CA,Baldwin Park,142.129.23.229,Relevant,,5bdb22e212ff7329c819b717,"
BlueHost built its WWW site management interface around the cPanel control panel, a truly ugly system that is nonetheless the industry standard today. cPanel is designed for pros who know what they are doing, and BlueHost offers little hand-holding if you need help getting started (although the company promises average tech support hold times of <30 seconds). But what BlueHost lacks in friendliness it makes up for in exhaustiveness, with over 75 installation scripts at hand, you can point and click your way to building just about any kind of website-blog, wiki, e-commerce, without a lot of fuss. The service plan is an unremarkable yet comprehensive and the big draw for most BlueHost customers-cheap. Pro packages can reach $20 a month, but most customers squeak by on the basic plan of under $4 per month.",I'm looking for information on designing a business website and finding hosting for it.,2019-01-22 21:20:12.189000,5,"BlueHost built its site management interface around the cPanel control panel, a truly ugly system that is nonetheless the industry standard today. cPanel is designed for pros who know what they are doing, and BlueHost offers little hand-holding if you need help getting started (although the company promises average tech support hold times under 30 seconds). But what BlueHost lacks in friendliness it makes up for in exhaustiveness: With over 75 installation scripts at hand, you can point and click your way to building just about any kind of website - blog, wiki, e-commerce - without a lot of fuss. The service plan is unremarkable yet comprehensive and - the big draw for most BlueHost customers - cheap. Pro packages can reach $20 a month, but most customers squeak by on the less-than $4-per month basic plan.",website design hosting,032_4,-6.55377721786499,,,vanilla,6LWZ77,60
2112115911,1/23/2019 05:20:42,false,4453540154,,1/23/2019 05:18:54,false,elite,1.0,44321263,USA,NY,Rochester,216.126.193.3,Non-Relevant,,5bdb22e212ff7329c819b717,"
BlueHost built its WWW site management interface around the cPanel control panel, a truly ugly system that is nonetheless the industry standard today. cPanel is designed for pros who know what they are doing, and BlueHost offers little hand-holding if you need help getting started (although the company promises average tech support hold times of <30 seconds). But what BlueHost lacks in friendliness it makes up for in exhaustiveness, with over 75 installation scripts at hand, you can point and click your way to building just about any kind of website-blog, wiki, e-commerce, without a lot of fuss. The service plan is an unremarkable yet comprehensive and the big draw for most BlueHost customers-cheap. Pro packages can reach $20 a month, but most customers squeak by on the basic plan of under $4 per month.",I'm looking for information on designing a business website and finding hosting for it.,2019-01-22 21:20:12.189000,5,"BlueHost built its site management interface around the cPanel control panel, a truly ugly system that is nonetheless the industry standard today. cPanel is designed for pros who know what they are doing, and BlueHost offers little hand-holding if you need help getting started (although the company promises average tech support hold times under 30 seconds). But what BlueHost lacks in friendliness it makes up for in exhaustiveness: With over 75 installation scripts at hand, you can point and click your way to building just about any kind of website - blog, wiki, e-commerce - without a lot of fuss. The service plan is unremarkable yet comprehensive and - the big draw for most BlueHost customers - cheap. Pro packages can reach $20 a month, but most customers squeak by on the less-than $4-per month basic plan.",website design hosting,032_4,-6.55377721786499,,,vanilla,6LWZ77,60
2112115911,1/23/2019 05:37:58,false,4453598595,,1/23/2019 05:36:41,false,elite,1.0,44321377,USA,NY,Rochester,216.126.193.3,Relevant,,5bdb22e212ff7329c819b717,"
BlueHost built its WWW site management interface around the cPanel control panel, a truly ugly system that is nonetheless the industry standard today. cPanel is designed for pros who know what they are doing, and BlueHost offers little hand-holding if you need help getting started (although the company promises average tech support hold times of <30 seconds). But what BlueHost lacks in friendliness it makes up for in exhaustiveness, with over 75 installation scripts at hand, you can point and click your way to building just about any kind of website-blog, wiki, e-commerce, without a lot of fuss. The service plan is an unremarkable yet comprehensive and the big draw for most BlueHost customers-cheap. Pro packages can reach $20 a month, but most customers squeak by on the basic plan of under $4 per month.",I'm looking for information on designing a business website and finding hosting for it.,2019-01-22 21:20:12.189000,5,"BlueHost built its site management interface around the cPanel control panel, a truly ugly system that is nonetheless the industry standard today. cPanel is designed for pros who know what they are doing, and BlueHost offers little hand-holding if you need help getting started (although the company promises average tech support hold times under 30 seconds). But what BlueHost lacks in friendliness it makes up for in exhaustiveness: With over 75 installation scripts at hand, you can point and click your way to building just about any kind of website - blog, wiki, e-commerce - without a lot of fuss. The service plan is unremarkable yet comprehensive and - the big draw for most BlueHost customers - cheap. Pro packages can reach $20 a month, but most customers squeak by on the less-than $4-per month basic plan.",website design hosting,032_4,-6.55377721786499,,,vanilla,6LWZ77,60
2112115911,1/23/2019 06:27:48,false,4453739282,,1/23/2019 06:21:33,false,clixsense,1.0,21875134,GBR,N4,Stoke-on-trent,51.9.18.26,Relevant,,5bdb22e212ff7329c819b717,"
BlueHost built its WWW site management interface around the cPanel control panel, a truly ugly system that is nonetheless the industry standard today. cPanel is designed for pros who know what they are doing, and BlueHost offers little hand-holding if you need help getting started (although the company promises average tech support hold times of <30 seconds). But what BlueHost lacks in friendliness it makes up for in exhaustiveness, with over 75 installation scripts at hand, you can point and click your way to building just about any kind of website-blog, wiki, e-commerce, without a lot of fuss. The service plan is an unremarkable yet comprehensive and the big draw for most BlueHost customers-cheap. Pro packages can reach $20 a month, but most customers squeak by on the basic plan of under $4 per month.",I'm looking for information on designing a business website and finding hosting for it.,2019-01-22 21:20:12.189000,5,"BlueHost built its site management interface around the cPanel control panel, a truly ugly system that is nonetheless the industry standard today. cPanel is designed for pros who know what they are doing, and BlueHost offers little hand-holding if you need help getting started (although the company promises average tech support hold times under 30 seconds). But what BlueHost lacks in friendliness it makes up for in exhaustiveness: With over 75 installation scripts at hand, you can point and click your way to building just about any kind of website - blog, wiki, e-commerce - without a lot of fuss. The service plan is unremarkable yet comprehensive and - the big draw for most BlueHost customers - cheap. Pro packages can reach $20 a month, but most customers squeak by on the less-than $4-per month basic plan.",website design hosting,032_4,-6.55377721786499,,,vanilla,6LWZ77,60
