_unit_id,_created_at,_golden,_id,_missed,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,this_document_is,orig__golden,orig__id,current_document,description,iteration,query,query_id,this_document_is_gold,this_document_is_gold_reason,username
2119892568,1/27/2019 07:59:02,false,4467243531,,1/27/2019 07:57:27,false,elite,1.0,44321263,USA,NY,Rochester,216.126.193.3,Relevant,,,"Commonly referred to as ""The Most Famous Arena in the World,"" Madison Square Garden is the home of the New York Knicks, NY Rangers, and some of the best concerts in NYC. To find the cheapest budget hotels NY near MSG, check out the great NYC hotel values below.
    Hampton Inn Madison Square Garden: The Hampton Inn NYC near MSG is just a short walk from Madison Square Garden, and is surrounded by some of the best bars in NYC. Grab a pint before the game, and enjoy close access to your NY hotel ar the Hampton Inn MSG.
    To find the cheapest budget hotels newyork near MSG, check out the great newyork city hotels values below.",Find inexpensive hotels in New York City.,2019-01-17-12-38-03-387578,newyork hotels,180_2,,,dummy_doc_180_3
2119892568,1/27/2019 08:06:21,false,4467249098,,1/27/2019 08:04:18,false,elite,1.0,44321377,USA,NY,Rochester,216.126.193.3,Relevant,,,"Commonly referred to as ""The Most Famous Arena in the World,"" Madison Square Garden is the home of the New York Knicks, NY Rangers, and some of the best concerts in NYC. To find the cheapest budget hotels NY near MSG, check out the great NYC hotel values below.
    Hampton Inn Madison Square Garden: The Hampton Inn NYC near MSG is just a short walk from Madison Square Garden, and is surrounded by some of the best bars in NYC. Grab a pint before the game, and enjoy close access to your NY hotel ar the Hampton Inn MSG.
    To find the cheapest budget hotels newyork near MSG, check out the great newyork city hotels values below.",Find inexpensive hotels in New York City.,2019-01-17-12-38-03-387578,newyork hotels,180_2,,,dummy_doc_180_3
2119892568,1/27/2019 08:12:34,false,4467255012,,1/27/2019 08:04:01,false,elite,1.0,44332987,USA,NC,Salisbury,71.71.255.206,Relevant,,,"Commonly referred to as ""The Most Famous Arena in the World,"" Madison Square Garden is the home of the New York Knicks, NY Rangers, and some of the best concerts in NYC. To find the cheapest budget hotels NY near MSG, check out the great NYC hotel values below.
    Hampton Inn Madison Square Garden: The Hampton Inn NYC near MSG is just a short walk from Madison Square Garden, and is surrounded by some of the best bars in NYC. Grab a pint before the game, and enjoy close access to your NY hotel ar the Hampton Inn MSG.
    To find the cheapest budget hotels newyork near MSG, check out the great newyork city hotels values below.",Find inexpensive hotels in New York City.,2019-01-17-12-38-03-387578,newyork hotels,180_2,,,dummy_doc_180_3
2119892568,1/27/2019 08:16:52,false,4467260298,,1/27/2019 08:15:48,false,instagc,1.0,20225558,GBR,I9,Norwich,212.139.116.95,Relevant,,,"Commonly referred to as ""The Most Famous Arena in the World,"" Madison Square Garden is the home of the New York Knicks, NY Rangers, and some of the best concerts in NYC. To find the cheapest budget hotels NY near MSG, check out the great NYC hotel values below.
    Hampton Inn Madison Square Garden: The Hampton Inn NYC near MSG is just a short walk from Madison Square Garden, and is surrounded by some of the best bars in NYC. Grab a pint before the game, and enjoy close access to your NY hotel ar the Hampton Inn MSG.
    To find the cheapest budget hotels newyork near MSG, check out the great newyork city hotels values below.",Find inexpensive hotels in New York City.,2019-01-17-12-38-03-387578,newyork hotels,180_2,,,dummy_doc_180_3
2119892568,1/27/2019 08:22:59,false,4467267994,,1/27/2019 08:18:41,false,prizerebel,1.0,5726847,USA,AL,Mobile,68.63.67.24,Relevant,,,"Commonly referred to as ""The Most Famous Arena in the World,"" Madison Square Garden is the home of the New York Knicks, NY Rangers, and some of the best concerts in NYC. To find the cheapest budget hotels NY near MSG, check out the great NYC hotel values below.
    Hampton Inn Madison Square Garden: The Hampton Inn NYC near MSG is just a short walk from Madison Square Garden, and is surrounded by some of the best bars in NYC. Grab a pint before the game, and enjoy close access to your NY hotel ar the Hampton Inn MSG.
    To find the cheapest budget hotels newyork near MSG, check out the great newyork city hotels values below.",Find inexpensive hotels in New York City.,2019-01-17-12-38-03-387578,newyork hotels,180_2,,,dummy_doc_180_3
2119892569,1/27/2019 01:31:19,false,4466819163,,1/27/2019 01:30:19,false,instagc,0.8571,29301997,USA,MI,Lapeer,75.133.252.44,Relevant,,,"
 Wilson Antennas have several types of antennas to offer, including the most popular magnet mount antennas on the market. Plus the sheer quality of our products -- from CB antenna mounts to harnesses and more -- is second to none.

Wilson CB antennas offer silver-plated copper wire for superior power and the broadband antenna allows for easy tuning. This unique design means that this antennas will last and last in the most rugged of travel… no matter where you use them. The company offers CB antennas, studs, CB antenna mounts, cables and other accessories to meet all your needs
",Find information about Wilson CB antennas.,2019-01-17-12-38-03-387578,wilson antenna,048_2,,,dummy_doc_048_3
2119892569,1/27/2019 01:32:58,false,4466821420,,1/27/2019 01:32:29,false,elite,1.0,43825820,GBR,N1,Cannock,79.66.67.246,Relevant,,,"
 Wilson Antennas have several types of antennas to offer, including the most popular magnet mount antennas on the market. Plus the sheer quality of our products -- from CB antenna mounts to harnesses and more -- is second to none.

Wilson CB antennas offer silver-plated copper wire for superior power and the broadband antenna allows for easy tuning. This unique design means that this antennas will last and last in the most rugged of travel… no matter where you use them. The company offers CB antennas, studs, CB antenna mounts, cables and other accessories to meet all your needs
",Find information about Wilson CB antennas.,2019-01-17-12-38-03-387578,wilson antenna,048_2,,,dummy_doc_048_3
2119892569,1/27/2019 01:36:38,false,4466826903,,1/27/2019 01:34:01,false,instagc,1.0,44197246,GBR,E4,Maldon,86.143.239.200,Relevant,,,"
 Wilson Antennas have several types of antennas to offer, including the most popular magnet mount antennas on the market. Plus the sheer quality of our products -- from CB antenna mounts to harnesses and more -- is second to none.

Wilson CB antennas offer silver-plated copper wire for superior power and the broadband antenna allows for easy tuning. This unique design means that this antennas will last and last in the most rugged of travel… no matter where you use them. The company offers CB antennas, studs, CB antenna mounts, cables and other accessories to meet all your needs
",Find information about Wilson CB antennas.,2019-01-17-12-38-03-387578,wilson antenna,048_2,,,dummy_doc_048_3
2119892569,1/27/2019 01:36:41,false,4466826979,,1/27/2019 01:35:54,false,instagc,1.0,43755034,USA,KY,Louisville,74.139.107.32,Relevant,,,"
 Wilson Antennas have several types of antennas to offer, including the most popular magnet mount antennas on the market. Plus the sheer quality of our products -- from CB antenna mounts to harnesses and more -- is second to none.

Wilson CB antennas offer silver-plated copper wire for superior power and the broadband antenna allows for easy tuning. This unique design means that this antennas will last and last in the most rugged of travel… no matter where you use them. The company offers CB antennas, studs, CB antenna mounts, cables and other accessories to meet all your needs
",Find information about Wilson CB antennas.,2019-01-17-12-38-03-387578,wilson antenna,048_2,,,dummy_doc_048_3
2119892569,1/27/2019 01:37:45,false,4466828979,,1/27/2019 01:31:54,false,instagc,1.0,15004831,USA,RI,Riverside,74.103.209.168,Relevant,,,"
 Wilson Antennas have several types of antennas to offer, including the most popular magnet mount antennas on the market. Plus the sheer quality of our products -- from CB antenna mounts to harnesses and more -- is second to none.

Wilson CB antennas offer silver-plated copper wire for superior power and the broadband antenna allows for easy tuning. This unique design means that this antennas will last and last in the most rugged of travel… no matter where you use them. The company offers CB antennas, studs, CB antenna mounts, cables and other accessories to meet all your needs
",Find information about Wilson CB antennas.,2019-01-17-12-38-03-387578,wilson antenna,048_2,,,dummy_doc_048_3
