_unit_id,_created_at,_golden,_id,_missed,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,this_document_is,orig__golden,current_document,description,id,iteration,query,query_id,this_document_is_gold,this_document_is_gold_reason,username
2108274333,1/20/2019 17:47:50,false,4445718106,,1/20/2019 17:46:59,false,prodege,1.0,11521789,USA,CA,San Diego,70.95.137.197,keywordstuffed,,"
You can purchase dog waste bags online. Are there any low cost options? There are plenty of low cost alternatives to dog waste bags. We offer various options in pet waste bags and dog poop scoop to speed up cleaning and make more time for the things you do love - like puppy cuddles and belly scratching. I have seen bins with a picture of a dog on them. What does this mean? dog The council is installing new bins which allow for both refuse and dog waste. So when you see this dog on a bin, it means you can put your doggy bag in it. The new multi-use bins will be dotted around Ashford and the town centre, making it easier for dog owners to clean up after their pets and help keep the borough looking clean.
",Can I order dog clean-up bags online?,,2019-01-17-12-38-03-387578,dog clean up bags,193_0,,,dummy_doc_193_3
2108274333,1/20/2019 17:48:17,false,4445718789,,1/20/2019 17:47:37,false,elite,1.0,44640240,USA,CA,Los Angeles,216.144.237.75,valid,,"
You can purchase dog waste bags online. Are there any low cost options? There are plenty of low cost alternatives to dog waste bags. We offer various options in pet waste bags and dog poop scoop to speed up cleaning and make more time for the things you do love - like puppy cuddles and belly scratching. I have seen bins with a picture of a dog on them. What does this mean? dog The council is installing new bins which allow for both refuse and dog waste. So when you see this dog on a bin, it means you can put your doggy bag in it. The new multi-use bins will be dotted around Ashford and the town centre, making it easier for dog owners to clean up after their pets and help keep the borough looking clean.
",Can I order dog clean-up bags online?,,2019-01-17-12-38-03-387578,dog clean up bags,193_0,,,dummy_doc_193_3
2108274333,1/20/2019 17:49:40,false,4445721378,,1/20/2019 17:48:05,false,neodev,1.0,44931457,USA,"","",12.164.246.120,valid,,"
You can purchase dog waste bags online. Are there any low cost options? There are plenty of low cost alternatives to dog waste bags. We offer various options in pet waste bags and dog poop scoop to speed up cleaning and make more time for the things you do love - like puppy cuddles and belly scratching. I have seen bins with a picture of a dog on them. What does this mean? dog The council is installing new bins which allow for both refuse and dog waste. So when you see this dog on a bin, it means you can put your doggy bag in it. The new multi-use bins will be dotted around Ashford and the town centre, making it easier for dog owners to clean up after their pets and help keep the borough looking clean.
",Can I order dog clean-up bags online?,,2019-01-17-12-38-03-387578,dog clean up bags,193_0,,,dummy_doc_193_3
2108274333,1/20/2019 17:49:54,false,4445721978,,1/20/2019 17:49:28,false,elite,1.0,44185272,USA,CA,Los Angeles,216.144.237.75,valid,,"
You can purchase dog waste bags online. Are there any low cost options? There are plenty of low cost alternatives to dog waste bags. We offer various options in pet waste bags and dog poop scoop to speed up cleaning and make more time for the things you do love - like puppy cuddles and belly scratching. I have seen bins with a picture of a dog on them. What does this mean? dog The council is installing new bins which allow for both refuse and dog waste. So when you see this dog on a bin, it means you can put your doggy bag in it. The new multi-use bins will be dotted around Ashford and the town centre, making it easier for dog owners to clean up after their pets and help keep the borough looking clean.
",Can I order dog clean-up bags online?,,2019-01-17-12-38-03-387578,dog clean up bags,193_0,,,dummy_doc_193_3
2108274333,1/20/2019 17:50:41,false,4445723367,,1/20/2019 17:49:52,false,instagc,1.0,43951421,GBR,"","",85.255.234.124,valid,,"
You can purchase dog waste bags online. Are there any low cost options? There are plenty of low cost alternatives to dog waste bags. We offer various options in pet waste bags and dog poop scoop to speed up cleaning and make more time for the things you do love - like puppy cuddles and belly scratching. I have seen bins with a picture of a dog on them. What does this mean? dog The council is installing new bins which allow for both refuse and dog waste. So when you see this dog on a bin, it means you can put your doggy bag in it. The new multi-use bins will be dotted around Ashford and the town centre, making it easier for dog owners to clean up after their pets and help keep the borough looking clean.
",Can I order dog clean-up bags online?,,2019-01-17-12-38-03-387578,dog clean up bags,193_0,,,dummy_doc_193_3
2108274334,1/20/2019 16:52:46,false,4445608428,,1/20/2019 16:52:21,false,instagc,0.875,39127197,GBR,T5,Aberdeen,176.250.168.169,valid,,"
Therefore, MapQuest and Google Maps have the tools to navigate every place on the world map. The scale statement can be accurate when the region mapped is small enough for the curvature of the Earth to be neglected, such as a city map.
",I'm looking for online mapping sites.,,2019-01-17-12-38-03-387578,map,013_0,,,dummy_doc_013_2
2108274334,1/20/2019 16:55:46,false,4445614328,,1/20/2019 16:55:09,false,elite,1.0,43825820,GBR,N1,Cannock,79.66.67.246,valid,,"
Therefore, MapQuest and Google Maps have the tools to navigate every place on the world map. The scale statement can be accurate when the region mapped is small enough for the curvature of the Earth to be neglected, such as a city map.
",I'm looking for online mapping sites.,,2019-01-17-12-38-03-387578,map,013_0,,,dummy_doc_013_2
2108274334,1/20/2019 16:57:51,false,4445618509,,1/20/2019 16:56:48,false,instagc,1.0,43294773,GBR,X4,Caerphilly,5.71.223.221,valid,,"
Therefore, MapQuest and Google Maps have the tools to navigate every place on the world map. The scale statement can be accurate when the region mapped is small enough for the curvature of the Earth to be neglected, such as a city map.
",I'm looking for online mapping sites.,,2019-01-17-12-38-03-387578,map,013_0,,,dummy_doc_013_2
2108274334,1/20/2019 16:59:24,false,4445621466,,1/20/2019 16:58:32,false,elite,1.0,44321205,USA,NY,Rochester,216.126.193.3,valid,,"
Therefore, MapQuest and Google Maps have the tools to navigate every place on the world map. The scale statement can be accurate when the region mapped is small enough for the curvature of the Earth to be neglected, such as a city map.
",I'm looking for online mapping sites.,,2019-01-17-12-38-03-387578,map,013_0,,,dummy_doc_013_2
2108274334,1/20/2019 16:59:42,false,4445622061,,1/20/2019 16:57:13,false,elite,1.0,44943183,USA,FL,Miami,173.44.36.179,valid,,"
Therefore, MapQuest and Google Maps have the tools to navigate every place on the world map. The scale statement can be accurate when the region mapped is small enough for the curvature of the Earth to be neglected, such as a city map.
",I'm looking for online mapping sites.,,2019-01-17-12-38-03-387578,map,013_0,,,dummy_doc_013_2
